Time,AMR_Undiag,AMR_I_Res
1357,142,116
1358,143,117
1359,145,117
1360,147,120
1361,146,120
1362,146,120
1363,145,120
1364,148,120
1365,151,121
1366,155,124
1367,146,123
1368,146,124
1369,150,124
1370,148,124
1371,152,124
1372,152,124
1373,146,126
1374,144,127
1375,137,127
1376,142,127
1377,140,129
1378,144,129
1379,147,129
1380,147,131
1381,146,131
1382,146,131
1383,145,132
1384,146,132
1385,140,132
1386,139,133
1387,141,134
1388,140,134
1389,137,135
1390,141,134
1391,143,134
1392,142,135
1393,139,135
1394,139,135
1395,135,135
1396,134,134
1397,129,133
1398,129,134
1399,123,134
1400,121,134
1401,121,135
1402,120,135
1403,122,135
1404,125,135
1405,127,135
1406,129,134
1407,132,135
1408,132,134
1409,136,134
1410,135,134
1411,133,133
1412,138,132
1413,133,132
1414,131,132
1415,130,132
1416,125,134
1417,124,134
1418,124,134
1419,125,133
1420,130,133
1421,133,133
1422,138,133
1423,135,133
1424,133,134
1425,129,137
1426,130,138
1427,131,139
1428,132,139
1429,124,139
1430,123,139
1431,119,139
1432,119,139
1433,118,140
1434,118,140
1435,118,140
1436,121,142
1437,121,142
1438,122,142
1439,125,142
1440,126,142
1441,123,142
1442,120,142
1443,123,143
1444,123,143
1445,125,143
1446,122,145
1447,122,145
1448,125,146
1449,124,147
1450,122,147
1451,127,147
1452,128,148
1453,125,148
1454,128,148
1455,127,148
1456,128,147
1457,123,147
1458,117,147
1459,122,147
1460,121,148
1461,126,147
1462,127,147
1463,124,146
1464,119,146
1465,123,144
1466,123,143
1467,119,144
1468,122,143
1469,127,143
1470,126,143
1471,124,143
1472,126,145
1473,129,143
1474,130,144
1475,129,141
1476,132,140
1477,131,141
1478,133,140
1479,131,138
1480,129,132
1481,133,132
1482,133,129
1483,134,127
1484,135,122
1485,130,119
1486,131,113
1487,134,110
1488,141,108
1489,142,103
1490,144,103
1491,143,102
1492,149,96
1493,146,96
1494,149,93
1495,154,87
1496,149,87
1497,150,86
1498,149,86
1499,153,83
1500,149,79
1501,156,73
1502,154,71
1503,152,70
1504,153,66
1505,154,64
1506,158,62
1507,156,62
1508,155,59
1509,157,57
1510,158,57
1511,156,55
1512,157,52
1513,161,52
1514,164,51
1515,163,49
1516,166,46
1517,165,45
1518,169,45
1519,170,45
1520,171,45
1521,179,43
1522,174,40
1523,172,39
1524,166,37
1525,172,37
1526,170,37
1527,176,37
1528,176,38
1529,178,37
1530,174,38
1531,174,38
1532,170,38
1533,171,39
1534,173,39
1535,167,39
1536,164,40
1537,162,40
1538,167,41
1539,165,42
1540,162,41
1541,169,41
1542,164,41
1543,171,41
1544,172,42
1545,171,42
1546,167,42
1547,168,42
1548,166,43
1549,163,43
1550,162,43
1551,167,43
1552,166,43
1553,170,43
1554,173,44
1555,170,44
1556,170,44
1557,169,44
1558,172,44
1559,173,44
1560,170,44
1561,166,45
1562,167,45
1563,166,45
1564,166,46
1565,165,47
1566,164,47
1567,167,48
1568,166,49
1569,162,49
1570,158,49
1571,158,50
1572,156,51
1573,154,51
1574,153,52
1575,150,52
1576,153,54
1577,158,54
1578,159,54
1579,158,55
1580,153,56
1581,150,58
1582,151,59
1583,153,59
1584,152,59
1585,152,59
1586,153,60
1587,153,61
1588,155,61
1589,157,61
1590,155,61
1591,154,61
1592,156,63
1593,152,64
1594,156,64
1595,157,64
1596,155,65
1597,158,67
1598,158,67
1599,158,67
1600,160,67
1601,161,67
1602,158,67
1603,162,68
1604,160,69
1605,162,70
1606,161,70
1607,159,70
1608,158,70
1609,156,70
1610,158,71
1611,163,72
1612,166,72
1613,173,72
1614,168,72
1615,165,72
1616,164,72
1617,160,72
1618,164,72
1619,159,71
1620,157,72
1621,162,72
1622,172,73
1623,180,72
1624,173,73
1625,171,73
1626,178,73
1627,180,73
1628,180,73
1629,182,74
1630,176,74
1631,179,75
1632,178,75
1633,177,76
1634,172,75
1635,173,76
1636,176,77
1637,178,76
1638,176,76
1639,173,76
1640,165,75
1641,165,75
1642,165,75
1643,164,75
1644,164,76
1645,164,76
1646,162,76
1647,159,76
1648,158,76
1649,158,77
1650,159,77
1651,158,77
1652,154,77
1653,155,77
1654,158,77
1655,162,77
1656,162,77
1657,166,79
1658,170,79
1659,169,80
1660,171,80
1661,173,80
1662,173,81
1663,171,81
1664,170,81
1665,168,82
1666,164,82
1667,163,83
1668,168,83
1669,167,84
1670,165,84
1671,163,84
1672,161,85
1673,158,85
1674,157,85
1675,157,85
1676,159,86
1677,158,86
1678,160,86
1679,162,86
1680,155,86
1681,154,88
1682,149,90
1683,148,91
1684,150,93
1685,148,94
1686,146,96
1687,142,96
1688,140,95
1689,144,96
1690,142,97
1691,140,98
1692,146,98
1693,145,98
1694,146,98
1695,145,98
1696,145,98
1697,147,98
1698,149,99
1699,151,100
1700,155,100
1701,159,100
1702,158,100
1703,156,101
1704,155,102
1705,152,102
1706,151,102
1707,151,102
1708,154,101
1709,149,101
1710,146,101
1711,151,101
1712,151,102
1713,149,103
1714,150,104
1715,153,104
1716,153,104
1717,154,104
1718,149,104
1719,147,103
1720,149,102
1721,145,103
1722,144,103
1723,144,103
1724,142,104
1725,141,104
1726,139,104
1727,141,105
1728,143,105
1729,145,104
1730,146,104
1731,144,104
1732,148,104
1733,146,104
1734,149,105
1735,151,104
1736,153,105
1737,150,105
1738,146,109
1739,143,109
1740,144,112
1741,139,112
1742,142,112
1743,137,112
1744,133,112
1745,137,112
1746,136,112
1747,134,112
1748,134,112
1749,128,113
1750,129,113
1751,131,113
1752,131,114
1753,132,114
1754,135,114
1755,131,114
1756,132,114
1757,133,114
1758,136,114
1759,140,114
1760,143,114
1761,141,112
1762,139,112
1763,142,114
1764,139,114
1765,142,115
1766,143,115
1767,142,115
1768,147,115
1769,147,115
1770,143,116
1771,147,117
1772,145,118
1773,145,118
1774,150,118
1775,152,118
1776,153,118
1777,150,120
1778,150,120
1779,152,121
1780,146,121
1781,144,121
1782,144,122
1783,146,122
1784,144,123
1785,141,123
1786,137,124
1787,137,124
1788,132,124
1789,136,126
1790,134,126
1791,133,126
1792,135,126
1793,138,126
1794,136,126
1795,127,126
1796,130,126
1797,127,126
1798,133,125
1799,132,125
1800,133,124
1801,133,124
1802,133,124
1803,132,124
1804,130,124
1805,133,124
1806,136,124
1807,138,126
1808,134,126
1809,133,126
1810,129,126
1811,123,126
1812,133,127
1813,136,127
1814,144,128
1815,142,128
1816,140,129
1817,142,128
1818,142,128
1819,144,128
1820,146,128
1821,143,130
1822,145,130
1823,144,130
1824,142,131
1825,142,131
1826,142,131
1827,143,132
1828,144,132
1829,144,133
1830,145,132
1831,143,130
1832,144,129
1833,146,128
1834,147,128
1835,148,127
1836,147,124
1837,144,121
1838,149,119
1839,153,118
1840,155,117
1841,155,116
1842,152,115
1843,148,114
1844,145,111
1845,146,104
1846,151,103
1847,154,103
1848,151,103
1849,155,100
1850,151,100
1851,146,99
1852,146,98
1853,146,97
1854,147,98
1855,150,95
1856,142,95
1857,142,96
1858,144,96
1859,143,95
1860,148,94
1861,149,93
1862,144,93
1863,140,88
1864,143,86
1865,143,85
1866,141,85
1867,137,81
1868,136,82
1869,130,81
1870,129,81
1871,129,78
1872,134,74
1873,128,73
1874,130,71
1875,135,69
1876,137,66
1877,142,65
1878,145,65
1879,148,64
1880,149,60
1881,152,58
1882,154,56
1883,156,53
